tpep_pickup_datetime,tpep_dropoff_datetime,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,total_amount
01/09/2015 0:06,01/09/2015 0:08,0.73,-73.99726105,40.73694992,-73.99066925,40.74600983,5.3
01/09/2015 0:06,01/09/2015 0:14,2.26,-74.00556946,40.72713089,-73.99478149,40.75506973,13.39
01/09/2015 0:06,01/09/2015 0:20,4.45,-74.0013504,40.73114014,-73.95771027,40.77690887,15.8
01/09/2015 0:06,01/09/2015 0:13,1.2,-73.97890472,40.75989151,-73.97013855,40.74886322,8.3
01/09/2015 0:06,01/09/2015 0:11,1.3,-73.96651459,40.76467514,-73.95410156,40.77697372,8.76
01/09/2015 0:06,01/09/2015 0:10,0.7,-73.95853424,40.76465225,-73.9675293,40.76328659,6.3
01/09/2015 0:06,01/09/2015 0:08,0.3,-73.97924805,40.74995804,-73.97434998,40.74879837,6.2
01/09/2015 0:06,01/09/2015 0:10,0.9,-73.9771347,40.74993515,-73.97875214,40.73937225,6.3
01/09/2015 0:06,01/09/2015 0:14,1.52,-73.98471069,40.7483139,-73.99580383,40.75910568,8.3
01/09/2015 0:06,01/09/2015 0:35,8.3,-73.98908997,40.75598907,-73.98389435,40.76059723,35.15
01/09/2015 0:06,01/09/2015 0:31,19.3,-73.77863312,40.64680481,-73.94997406,40.77800369,58.34
01/09/2015 0:06,01/09/2015 0:09,0.6,-73.99247742,40.74325943,-73.99156952,40.74993134,5.8
01/09/2015 0:06,01/09/2015 0:11,1.3,-73.97464752,40.76209259,-73.99105835,40.75570679,9.57
01/09/2015 0:06,01/09/2015 0:21,5.09,-73.96702576,40.76394272,-73.99571228,40.71040726,20.3
01/09/2015 0:06,01/09/2015 0:20,2.62,-73.98381042,40.72564316,-73.99375153,40.75190735,13.3
01/09/2015 0:06,01/09/2015 0:20,3.64,-73.98924255,40.7456665,-73.94739532,40.77600861,17.76
01/09/2015 0:06,01/09/2015 0:14,1.4,-73.97145081,40.76357269,-73.98952484,40.76285553,8.3
01/09/2015 0:06,01/09/2015 0:10,0.75,-73.99352264,40.72132874,-73.98789215,40.73020935,7.56
01/09/2015 0:06,01/09/2015 0:24,4.6,-73.9641037,40.7706604,-73.90734863,40.74583817,21.95
01/09/2015 0:06,01/09/2015 0:06,0.3,-73.97557831,40.75799942,-73.97531128,40.75779343,3.8
01/09/2015 0:06,01/09/2015 0:21,8.17,-73.87296295,40.77407074,-73.97829437,40.74591064,37.01
01/09/2015 0:06,01/09/2015 0:12,1.7,-73.95554352,40.77961349,-73.98040771,40.78829956,9.8
01/09/2015 0:06,01/09/2015 0:29,17.2,-73.77718353,40.64677811,-73.97611237,40.74468994,66.34
01/09/2015 0:06,01/09/2015 0:28,10.67,-73.87122345,40.77384567,-74.0054245,40.73088837,38.3
01/09/2015 0:06,01/09/2015 0:09,0.73,-74.00055695,40.74239349,-73.99282837,40.74862671,5.8
01/09/2015 0:06,01/09/2015 0:14,1.4,-73.96881104,40.75474548,-73.98957062,40.75694656,8.8
01/09/2015 0:06,01/09/2015 0:11,1.1,-73.97981262,40.75209808,-73.97093201,40.76539993,6.8
01/09/2015 0:06,01/09/2015 0:18,1.9,-73.96999359,40.76309204,-73.98286438,40.77487946,14.15
01/09/2015 0:06,01/09/2015 0:19,7.23,-73.87104797,40.77398682,-73.95071411,40.71097183,27.88
01/09/2015 0:06,01/09/2015 0:08,0.32,-73.99075317,40.73078537,-73.98731995,40.73307037,4.8
